Altium Designer Pick and Place Locations
C:\Users\michi\Documents\ELSYS\Altium\uz_d_incr_encoder_v2\Project Outputs for UZ_D_Incr_Encoder\ProjectRevision\Pick Place\Pick_and_Place_UZ_D_Incr_Encoder_[No Variations]_1v00.csv

========================================================================================================================
File Design Information:

Date:       10.03.22
Time:       11:15
Revision:   b0f9776e6a1db0a2b3cbf0d65d932f7b9aab42ed
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","-2.5146","-2.5146","63.1190","63.1190","-4.9046","63.1190","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","-2.5908","-2.5908","67.4624","67.4624","-4.9808","67.4624","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-2.4892","-2.4892","71.8820","71.8820","-4.8792","71.8820","0","Littelfuse_PTC_1812","TopLayer"
"C7_3","C_0805","89.7000","89.7000","26.8000","26.8000","89.7000","25.8000","90","0.1 µF","TopLayer"
"C7_2","C_0805","90.1000","90.1000","61.7000","61.7000","90.1000","60.7000","90","0.1 µF","TopLayer"
"C7_1","C_0805","90.6000","90.6000","93.8000","93.8000","90.6000","92.8000","90","0.1 µF","TopLayer"
"C6_3","C_0805","111.2693","111.2693","21.9750","21.9750","111.2693","20.9750","90","0.01 µF","TopLayer"
"C6_2","C_0805","111.4000","111.4000","56.7000","56.7000","111.4000","55.7000","90","0.01 µF","TopLayer"
"C4_3","C_0805","111.1000","111.1000","16.6000","16.6000","111.1000","17.6000","270","0.01 µF","TopLayer"
"C4_2","C_0805","111.5000","111.5000","51.4000","51.4000","111.5000","52.4000","270","0.01 µF","TopLayer"
"C3_3","C_0805","111.0000","111.0000","11.1000","11.1000","111.0000","12.1000","270","0.01 µF","TopLayer"
"C3_2","C_0805","111.5000","111.5000","46.1000","46.1000","111.5000","47.1000","270","0.01 µF","TopLayer"
"C2_3","C_0805","67.3000","67.3000","17.7000","17.7000","67.3000","16.7000","90","0.1 µF","TopLayer"
"C2_2","C_0805","67.0436","67.0436","43.8428","43.8428","67.0436","44.8428","270","0.1 µF","TopLayer"
"C1_3","C_0805","83.1118","83.1118","9.2196","9.2196","83.1118","8.2196","90","0.1 µF","TopLayer"
