Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_d_incr_encoder_v2\Project Outputs for UZ_D_Incr_Encoder\Rev03\Pick Place\Pick_and_Place_UZ_D_Incr_Encoder_Default_Rev03.csv

========================================================================================================================
File Design Information:

Date:       27.05.22
Time:       21:32
Revision:   1bba692f9047a719cc91576b3bc5873371ef1c6f
Variant:    Default
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","-2.5146","-2.5146","63.1190","63.1190","-4.9046","63.1190","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","-2.5908","-2.5908","67.4624","67.4624","-4.9808","67.4624","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-2.4892","-2.4892","71.8820","71.8820","-4.8792","71.8820","0","Littelfuse_PTC_1812","TopLayer"
"C8_3","C_0805","69.8000","69.8000","32.0000","32.0000","68.8000","32.0000","360","0.1 µF","TopLayer"
"C8_2","C_0805","69.8000","69.8000","66.8000","66.8000","68.8000","66.8000","360","0.1 µF","TopLayer"
"C8_1","C_0805","67.2000","67.2000","94.8000","94.8000","67.2000","93.8000","90","0.1 µF","TopLayer"
"C7_3","C_0805","90.4444","90.4444","26.8264","26.8264","90.4444","25.8264","90","0.1 µF","TopLayer"
"C7_2","C_0805","90.4444","90.4444","61.6264","61.6264","90.4444","60.6264","90","0.1 µF","TopLayer"
"C7_1","C_0805","90.4444","90.4444","93.8056","93.8056","90.4444","92.8056","90","0.1 µF","TopLayer"
"C6_3","C_0805","111.7444","111.7444","21.8264","21.8264","111.7444","20.8264","90","0.01 µF","TopLayer"
"C6_2","C_0805","111.7444","111.7444","56.6264","56.6264","111.7444","55.6264","90","0.01 µF","TopLayer"
"C4_3","C_0805","111.8444","111.8444","16.5264","16.5264","111.8444","17.5264","270","0.01 µF","TopLayer"
"C4_2","C_0805","111.8444","111.8444","51.3264","51.3264","111.8444","52.3264","270","0.01 µF","TopLayer"
"C3_3","C_0805","111.8444","111.8444","11.2264","11.2264","111.8444","12.2264","270","0.01 µF","TopLayer"
"C3_2","C_0805","111.8444","111.8444","46.0264","46.0264","111.8444","47.0264","270","0.01 µF","TopLayer"
