Altium Designer Pick and Place Locations
C:\Users\michi\Documents\ELSYS\Altium\uz_d_incr_encoder_v2\Project Outputs for UltraZohm_Digital_Incremental_Encoder_v2\ProjectRevision\Pick Place\Pick_and_Place_UltraZohm_Digital_Incremental_Encoder_v2_[No Variations]_1v00.csv

========================================================================================================================
File Design Information:

Date:       09.03.22
Time:       11:12
Revision:   337db273381e220e137ea831a2b03bc35333dd3b
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F3","1812_PTC_Polyfuse_Littelfuse","-2.5146","-2.5146","63.1190","63.1190","-4.9046","63.1190","0","Littelfuse_PTC_1812","TopLayer"
"F2","1812_PTC_Polyfuse_Littelfuse","-2.5908","-2.5908","67.4624","67.4624","-4.9808","67.4624","0","Littelfuse_PTC_1812","TopLayer"
"F1","1812_PTC_Polyfuse_Littelfuse","-2.4892","-2.4892","71.8820","71.8820","-4.8792","71.8820","0","Littelfuse_PTC_1812","TopLayer"
"C18","C_0805","63.1698","63.1698","5.1054","5.1054","62.1698","5.1054","0","0.1 µF","TopLayer"
"C17","C_0805","91.4400","91.4400","2.8956","2.8956","92.4400","2.8956","180","0.1 µF","TopLayer"
"C15","C_0805","109.2200","109.2200","14.2400","14.2400","109.2200","13.2400","90","0.01 µF","TopLayer"
"C14","C_0805","109.2200","109.2200","21.5900","21.5900","109.2200","20.5900","90","0.01 µF","TopLayer"
"C13","C_0805","109.2200","109.2200","27.9400","27.9400","109.2200","26.9400","90","0.01 µF","TopLayer"
"C12","C_0805","62.8142","62.8142","39.1414","39.1414","61.8142","39.1414","0","0.1 µF","TopLayer"
"C11","C_0805","83.9470","83.9470","38.9984","38.9984","83.9470","39.9984","270","0.1 µF","TopLayer"
"C9","C_0805","108.0770","108.0770","55.8546","55.8546","108.0770","54.8546","90","0.01 µF","TopLayer"
"C8","C_0805","112.4966","112.4966","50.5206","50.5206","112.4966","49.5206","90","0.01 µF","TopLayer"
"C7","C_0805","112.6998","112.6998","45.0088","45.0088","112.6998","44.0088","90","0.01 µF","TopLayer"
"C6","C_0805","109.5756","109.5756","89.1794","89.1794","109.5756","90.1794","270","0.01 µF","TopLayer"
"C4","C_0805","113.8936","113.8936","83.8866","83.8866","113.8936","82.8866","90","0.01 µF","TopLayer"
